group,fips_code,clinton_votes,sanders_votes,clinton_margin,clinton_percent
Alabama,01001,2387,544,1843,0.6287956328897987
Alabama,01003,5290,2694,2596,0.3251503006012024
Alabama,01005,2567,222,2345,0.8408031552527788
Alabama,01007,942,246,696,0.5858585858585859
Alabama,01009,564,395,169,0.1762252346193952
Alabama,01011,2451,178,2273,0.8645872955496386
Alabama,01013,2196,156,2040,0.8673469387755102
Alabama,01015,5011,1425,3586,0.5571783716594157
Alabama,01017,2899,312,2587,0.805668016194332
Alabama,01019,712,268,444,0.4530612244897959
Alabama,01021,860,289,571,0.4969538729329852
Alabama,01023,1772,273,1499,0.7330073349633252
Alabama,01025,3148,213,2935,0.8732520083308539
Alabama,01027,807,135,672,0.7133757961783439
Alabama,01029,221,72,149,0.5085324232081911
Alabama,01031,1493,389,1104,0.5866099893730075
Alabama,01033,3879,1342,2537,0.4859222371193258
Alabama,01035,2031,544,1487,0.5774757281553398
Alabama,01037,1012,125,887,0.7801231310466139
Alabama,01039,737,188,549,0.5935135135135136
Alabama,01041,908,107,801,0.7891625615763547
Alabama,01043,1275,723,552,0.27627627627627627
Alabama,01045,1544,415,1129,0.5763144461459928
Alabama,01047,8577,1774,6803,0.6572311853927156
Alabama,01049,1297,667,630,0.32077393075356414
Alabama,01051,3019,694,2325,0.6261782924858605
Alabama,01053,2027,226,1801,0.7993786063027075
Alabama,01055,4262,1289,2973,0.5355791749234372
Alabama,01057,660,148,512,0.6336633663366337
Alabama,01059,1233,767,466,0.233
Alabama,01061,544,157,387,0.5520684736091298
Alabama,01063,2714,213,2501,0.8544584899214213
Alabama,01065,2426,427,1999,0.7006659656501928
Alabama,01067,1170,163,1007,0.7554388597149287
Alabama,01069,3044,780,2264,0.5920502092050209
Alabama,01071,1327,510,817,0.4447468698965705
Alabama,01073,67357,14319,53038,0.6493706841667075
Alabama,01075,442,173,269,0.4373983739837398
Alabama,01077,3676,1745,1931,0.3562073418188526
Alabama,01079,2047,428,1619,0.6541414141414141
Alabama,01081,7137,2464,4673,0.4867201333194459
Alabama,01083,3199,1120,2079,0.4813614262560778
Alabama,01085,3782,330,3452,0.8394941634241245
Alabama,01087,4293,483,3810,0.7977386934673367
Alabama,01089,19995,8786,11209,0.3894583231993329
Alabama,01091,3590,1092,2498,0.5335326783425887
Alabama,01093,567,256,311,0.3778857837181045
Alabama,01095,1494,821,673,0.29071274298056154
Alabama,01097,28927,5672,23255,0.6721292522905287
Alabama,01099,2438,205,2233,0.8448732500945895
Alabama,01101,28650,4266,24384,0.7407947502734232
Alabama,01103,3897,1345,2552,0.4868370850820298
Alabama,01105,2575,389,2186,0.7375168690958165
Alabama,01107,2326,453,1873,0.6739834472831954
Alabama,01109,2183,379,1804,0.7041373926619828
Alabama,01111,1236,328,908,0.5805626598465473
Alabama,01113,4381,988,3393,0.6319612590799032
Alabama,01115,1808,745,1063,0.4163728946337642
Alabama,01117,6657,3755,2902,0.2787168651555897
Alabama,01119,2987,416,2571,0.7555098442550691
Alabama,01121,5561,782,4779,0.7534289768248463
Alabama,01123,2658,308,2350,0.7923128792987189
Alabama,01125,12136,3444,8692,0.5578947368421052
Alabama,01127,1772,727,1045,0.4181672669067627
Alabama,01129,1511,562,949,0.45779064158224797
Alabama,01131,3337,410,2927,0.7811582599412864
Alabama,01133,303,138,165,0.3741496598639456
Alaska,02000,99,440,-341,-0.632653061
Arizona,04001,4450,1933,2517,0.3943286855710481
Arizona,04003,4654,3265,1389,0.1754009344614219
Arizona,04005,5738,6941,-1203,-0.09488129978704946
Arizona,04007,2196,1305,891,0.2544987146529563
Arizona,04009,937,851,86,0.04809843400447427
Arizona,04011,497,325,172,0.20924574209245742
Arizona,04012,309,259,50,0.0880281690140845
Arizona,04013,126988,86942,40046,0.18719207217314074
Arizona,04015,4170,2847,1323,0.18854211201368107
Arizona,04017,4415,2621,1794,0.2549744172825469
Arizona,04019,56317,40228,16089,0.16664767724895127
Arizona,04021,9771,5414,4357,0.2869278893645044
Arizona,04023,2496,1205,1291,0.3488246419886517
Arizona,04025,8401,7108,1293,0.08337094590237927
Arizona,04027,4358,2156,2202,0.3380411421553577
Arkansas,05001,724,132,592,0.6915887850467289
Arkansas,05003,1375,980,395,0.16772823779193205
Arkansas,05005,1391,807,584,0.2656960873521383
Arkansas,05007,5650,4696,954,0.09220954958438043
Arkansas,05009,721,469,252,0.21176470588235294
Arkansas,05011,593,106,487,0.6967095851216023
Arkansas,05013,413,312,101,0.1393103448275862
Arkansas,05015,0,0,0,0
Arkansas,05017,1370,247,1123,0.6944959802102659
Arkansas,05019,1650,494,1156,0.539179104477612
Arkansas,05021,960,656,304,0.18811881188118812
Arkansas,05023,758,316,442,0.41154562383612664
Arkansas,05025,382,137,245,0.4720616570327553
Arkansas,05027,1008,306,702,0.5342465753424658
Arkansas,05029,1755,840,915,0.35260115606936415
Arkansas,05031,3543,1862,1681,0.3110083256244218
Arkansas,05033,1586,874,712,0.2894308943089431
Arkansas,05035,3379,722,2657,0.6478907583516216
Arkansas,05037,780,228,552,0.5476190476190477
Arkansas,05039,693,361,332,0.31499051233396586
